,mae,name,num_size
219,1.8822579,opv,200
220,0.9286478,Lipo,100
221,2.8343213,FreeSolv,10
222,3.2296133,FreeSolv,10
223,1.1510035,FreeSolv,200
224,1.516436,FreeSolv,100
225,0.88675416,Lipo,100
226,0.65988195,qmug,50
227,2.546251,FreeSolv,10
228,0.97906065,FreeSolv,500
229,0.98020357,esol,100
230,2.3275356,opv,10
231,0.7497511,Lipo,200
232,1.8100494,FreeSolv,50
233,0.9492422,Lipo,50
234,2.8847332,FreeSolv,10
235,2.0639296,opv,100
